Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /scratch/gz2199/calli_env/lib/python3.9/site-packages/lpips/weights/v0.1/vgg.pth
Disentangle VAE Training...
Training config: {'encoder': 'vae_encoder', 'decoder': 'vae_decoder', 'use_gan': True, 'use_ema': True, 'latent_dim': 256, 'lpips_weight': 0.8, 'kl_weight': 0.2, 'vq_loss_weight': 1.0, 'gan_weight': 0.2, 'train_stage': 'VAE', 'img_size': 128, 'train_data_root': './data/train', 'val_data_root': './data/val', 'batch_size': 32, 'epochs': 5000, 'lr': 0.0001, 'checkpoint_interval': 500, 'resume_ckpt': '', 'in_channels': 1, 'val_interval': 5000, 'train_log_interval': 100, 'lr_scheduler': 'linear-warmup_cosine-decay', 'warmup_epochs': 10, 'min_lr': 1e-05, 'kl_anneal': {'enabled': True, 'start_epoch': 0, 'end_epoch': 100}, 'gradient_clip_val': 1.0, 'lecam_weight': 0.1}
Using device: cuda
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /scratch/gz2199/calli_env/lib/python3.9/site-packages/lpips/weights/v0.1/vgg.pth
Using GAN: True, EMA: True
No checkpoint found or resume_ckpt not specified.
Found 28054 images in dataset.
[Epoch 0] Avg Loss: 0.9034
[Epoch 1] Avg Loss: 0.4277
[Epoch 2] Avg Loss: 0.2632
[Epoch 3] Avg Loss: 0.1995
[Epoch 4] Avg Loss: 0.1746
[Validation] L2: 0.0596, LPIPS: 0.1695
[Epoch 5] Avg Loss: 0.1607
[Epoch 6] Avg Loss: 0.1479
[Epoch 7] Avg Loss: 0.1350
[Epoch 8] Avg Loss: 0.1248
[Epoch 9] Avg Loss: 0.1141
[Epoch 10] Avg Loss: 0.1029
[Validation] L2: 0.0425, LPIPS: 0.1260
[Epoch 11] Avg Loss: 0.0974
[Epoch 12] Avg Loss: 0.0950
[Epoch 13] Avg Loss: 0.0871
[Epoch 14] Avg Loss: 0.0853
[Epoch 15] Avg Loss: 0.0789
[Epoch 16] Avg Loss: 0.0772
[Validation] L2: 0.0406, LPIPS: 0.1227
[Epoch 17] Avg Loss: 0.0780
[Epoch 18] Avg Loss: 0.0786
[Epoch 19] Avg Loss: 0.0830
[Epoch 20] Avg Loss: 0.0789
[Epoch 21] Avg Loss: 0.0845
[Validation] L2: 0.0411, LPIPS: 0.1246
[Epoch 22] Avg Loss: 0.0890
[Epoch 23] Avg Loss: 0.0932
[Epoch 24] Avg Loss: 0.0917
[Epoch 25] Avg Loss: 0.0963
[Epoch 26] Avg Loss: 0.1002
